Datetime,Temperature,Apparent Temperature,Cloud Cover,Dew Point,DHI,DNI,Solar Zenith Angle,GHI,Pod,Precipitation,Pressure,Relative Humidity,Sea Level Pressure,Snow Depth,Solar Radiation,Visibility,Weather Description,Weather Code,Weather Icon,Wind Direction,Wind Gust Speed,Wind Speed
2023-05-01T00:00:00,12,12,18,0.8,0,0,-20.6,0,n,0,888,46,1010,0,0,16,Few clouds,801,c02n,160,11,2.1
2023-05-01T01:00:00,12,12,1,0.8,0,0,-23.3,0,n,0,887,46,1010,0,0,16,Clear Sky,800,c01n,140,4.1,4.1
2023-05-01T02:00:00,11,11,9,1,0,0,-23.4,0,n,0,887,50,1010,0,0,16,Few clouds,801,c02n,170,11,2.6
2023-05-01T03:00:00,10,10,7,0.9,0,0,-21,0,n,0.25,886,53,1009,0,0,16,Few clouds,801,c02n,180,10,3.6
2023-05-01T04:00:00,9,9,42,1,0,0,-16.3,0,n,0,885,57,1009,0,0,16,Broken clouds,803,c03n,170,10,3.1
2023-05-01T05:00:00,8,8,40,1,0,0,-9.8,0,n,0,885,61,1009,0,0,16,Scattered clouds,802,c02n,170,9,3.1
2023-05-01T06:00:00,8,8,8,1,0,0,-2,0,n,0,885,61,1009,0,0,16,Few clouds,801,c02n,180,9,2.6
2023-05-01T07:00:00,8,8,44,1.8,41,379,6.8,77,d,0,885,65,1010,0,73,16,Broken clouds,803,c03d,200,9,2.1
2023-05-01T08:00:00,10,10,50,1.9,67,616,16,230,d,0,885,57,1010,0,210,16,Broken clouds,803,c03d,180,9,2.1
2023-05-01T09:00:00,13,13,7,2,84,741,25.5,396,d,0,886,47,1010,0,396,16,Few clouds,801,c02d,170,6.4,3.6
2023-05-01T10:00:00,15,15,10,2.9,96,816,34.6,554,d,0,887,44,1010,0,554,16,Few clouds,801,c02d,150,9,5.1
2023-05-01T11:00:00,18,18,2,3.9,105,864,43,687,d,0,888,39,1010,0,687,16,Few clouds,801,c02d,170,9,6.7
2023-05-01T12:00:00,21,19.9,1,2.8,110,893,49.7,784,d,0,889,30,1010,0,784,16,Clear Sky,800,c01d,150,9,6.7
2023-05-01T13:00:00,23,22,15,1.9,113,906,53.7,836,d,0,890,25,1009,0,835,16,Few clouds,801,c02d,170,12,8.2
2023-05-01T14:00:00,25,24.1,24,0.5,113,907,53.9,839,d,0,891,20,1008,0,833,16,Scattered clouds,802,c02d,170,11,8.8
2023-05-01T15:00:00,25,24.1,25,0.5,111,895,50.3,792,d,0,891,20,1008,0,786,16,Scattered clouds,802,c02d,170,12,6.7
2023-05-01T16:00:00,25,24.1,25,0.5,105,868,43.8,700,d,0,891,20,1008,0,694,14,Scattered clouds,802,c02d,190,11,6.2
2023-05-01T17:00:00,26,25.2,25,0.6,97,823,35.6,570,d,0,891,19,1008,0,565,14,Scattered clouds,802,c02d,160,8.2,8.2
2023-05-01T18:00:00,25,24,25,-1.7,85,751,26.5,414,d,0,891,17,1008,0,411,16,Scattered clouds,802,c02d,160,10,7.7
2023-05-01T19:00:00,24,23,25,-1,69,633,17.1,249,d,0,891,19,1009,0,247,14,Scattered clouds,802,c02d,150,9,6.2
2023-05-01T20:00:00,22,20.8,21,-1.3,45,417,7.8,93,d,0,890,21,1009,0,93,16,Scattered clouds,802,c02d,130,7.7,7.7
2023-05-01T21:00:00,20,18.7,5,-1.2,0,0,-0.9,0,n,0,890,24,1009,0,0,16,Few clouds,801,c02n,140,6.4,6.2
2023-05-01T22:00:00,18,18,1,-1.3,0,0,-8.9,0,n,0,890,27,1010,0,0,16,Clear Sky,800,c01n,150,6.4,5.7
2023-05-01T23:00:00,15,15,1,-1.1,0,0,-15.5,0,n,0,889,33,1010,0,0,16,Clear Sky,800,c01n,170,12,4.1
2023-05-02T00:00:00,13,13,0,-1.3,0,0,-20.3,0,n,0,887,37,1010,0,0,16,Clear Sky,800,c01n,180,10,3.6
2023-05-02T01:00:00,13,13,25,-1.3,0,0,-23,0,n,0,887,37,1011,0,0,16,Scattered clouds,802,c02n,180,3.2,3.1
2023-05-02T02:00:00,14,14,25,-2,0,0,-23.1,0,n,0,887,33,1010,0,0,16,Scattered clouds,802,c02n,180,3.6,3.6
2023-05-02T03:00:00,12,12,25,-2.2,0,0,-20.7,0,n,0,887,37,1010,0,0,16,Scattered clouds,802,c02n,170,2,1.5
2023-05-02T04:00:00,11,11,48,-1.1,0,0,-16,0,n,0,887,43,1011,0,0,16,Broken clouds,803,c03n,200,2.8,1.5
2023-05-02T05:00:00,8,8,44,-1,0,0,-9.5,0,n,0,887,53,1012,0,0,16,Broken clouds,803,c03n,360,2.6,2.6
2023-05-02T06:00:00,8,8,0,-1,0,0,-1.7,0,n,0,887,53,1012,0,0,16,Clear Sky,800,c01n,320,2.8,2.1
2023-05-02T07:00:00,9,9,0,1.9,42,388,7,81,d,0,887,61,1012,0,81,16,Clear Sky,800,c01d,360,6,2.1
2023-05-02T08:00:00,14,14,0,3.8,67,620,16.3,234,d,0,887,50,1012,0,234,13,Clear Sky,800,c01d,350,11,3.6
2023-05-02T09:00:00,17,17,0,3,84,743,25.7,400,d,0,887,39,1012,0,400,13,Clear Sky,800,c01d,340,11,7.7
2023-05-02T10:00:00,19,17.8,0,2.8,96,818,34.9,558,d,0,887,34,1012,0,558,13,Clear Sky,800,c01d,350,8,6.2
2023-05-02T11:00:00,20,18.9,0,2.8,105,865,43.2,691,d,0,887,32,1013,0,691,13,Clear Sky,800,c01d,350,8,6.2
2023-05-02T12:00:00,21.5,20.5,0,2.7,110,893,50,787,d,0,887,29,1012,0,787,16,Clear Sky,800,c01d,10,7.2,5.7
2023-05-02T13:00:00,22,21,0,2.7,113,907,54,839,d,0,887,28,1012,0,839,14,Clear Sky,800,c01d,20,9,7.7
2023-05-02T14:00:00,23,22.1,0,3.5,113,908,54.2,842,d,0,888,28,1012,0,842,16,Clear Sky,800,c01d,40,9,4.1
2023-05-02T15:00:00,24,23.1,0,1.6,111,895,50.5,795,d,0,888,23,1011,0,795,14,Clear Sky,800,c01d,360,6.2,6.2
2023-05-02T16:00:00,24,23.1,0,1.6,106,869,44,703,d,0,888,23,1011,0,703,13,Clear Sky,800,c01d,350,6,1.5
2023-05-02T17:00:00,25,24.1,0,1.8,97,824,35.8,573,d,0,888,22,1011,0,573,13,Clear Sky,800,c01d,40,6,3.6
2023-05-02T18:00:00,24,23,0,1,86,752,26.7,418,d,0,888,22,1011,0,418,14,Clear Sky,800,c01d,10,4,2.1
2023-05-02T19:00:00,24,23,1,1,69,636,17.3,252,d,0,888,22,1011,0,252,14,Clear Sky,800,c01d,30,3.6,3.6
2023-05-02T20:00:00,22,20.8,1,-0.7,45,424,8.1,96,d,0,888,22,1010,0,96,16,Clear Sky,800,c01d,70,3.1,3.1
2023-05-02T21:00:00,18,18,0,-3.4,0,0,-0.7,0,n,0,888,23,1011,0,0,16,Clear Sky,800,c01n,90,3.6,3.6
2023-05-02T22:00:00,18,18,1,-2.3,0,0,-8.6,0,n,0,888,25,1011,0,0,16,Clear Sky,800,c01n,100,5,3.1
2023-05-02T23:00:00,16,16,23,-2,0,0,-15.2,0,n,0,888,29,1011,0,0,16,Scattered clouds,802,c02n,350,5,1.5
2023-05-03T00:00:00,13,13,24,-4.6,0,0,-20.1,0,n,0,888,29,1012,0,0,16,Scattered clouds,802,c02n,360,4,2.1
2023-05-03T01:00:00,12,12,44,0.8,0,0,-22.7,0,n,0.25,888,46,1012,0,0,16,Broken clouds,803,c03n,350,4,2.6
2023-05-03T02:00:00,10,10,88,0.9,0,0,-22.8,0,n,0,888,53,1012,0,0,16,Overcast clouds,804,c04n,360,2.1,2.1
2023-05-03T03:00:00,9,9,98,1,0,0,-20.4,0,n,0,888,57,1012,0,0,16,Overcast clouds,804,c04n,350,3,2.1
2023-05-03T04:00:00,8,8,78,1,0,0,-15.7,0,n,0,888,61,1011,0,0,16,Overcast clouds,804,c04n,220,3.6,2.4
2023-05-03T05:00:00,6,5.8,25,-0.9,0,0,-9.3,0,n,0.5,889,61,1011,0,0,16,Scattered clouds,802,c02n,90,2,1
2023-05-03T06:00:00,6,5.8,24,-0.1,0,0,-1.4,0,n,0,889,65,1011,0,0,16,Scattered clouds,802,c02n,80,2,1
2023-05-03T07:00:00,7,6.2,25,0.9,43,397,7.3,84,d,0,889,65,1011,0,83,16,Scattered clouds,802,c02d,70,1.5,1.5
2023-05-03T08:00:00,10,10,1,2.8,68,623,16.5,238,d,0,889,61,1011,0,238,16,Clear Sky,800,c01d,170,2,1
2023-05-03T09:00:00,15,15,1,2.9,84,745,25.9,404,d,0,889,44,1011,0,404,16,Clear Sky,800,c01d,210,5,2.6
2023-05-03T10:00:00,18,18,1,2.7,97,819,35.1,561,d,0,889,36,1010,0,561,16,Clear Sky,800,c01d,190,6,3.6
2023-05-03T11:00:00,20,18.9,1,2.8,105,866,43.5,694,d,0,889,32,1010,0,694,16,Clear Sky,800,c01d,190,10,3.6
2023-05-03T12:00:00,24,23,23,1,111,894,50.2,791,d,0,889,22,1009,0,786,16,Scattered clouds,802,c02d,170,11,6.7
2023-05-03T13:00:00,25,24.1,3,1.8,113,907,54.2,842,d,0,889,22,1008,0,842,16,Few clouds,801,c02d,170,11,8.2
2023-05-03T14:00:00,26,25.2,11,0.6,113,908,54.4,845,d,0,889,19,1008,0,845,16,Few clouds,801,c02d,170,10,7.7
2023-05-03T15:00:00,27,26,16,-1.8,111,896,50.8,798,d,0,889,15,1007,0,797,16,Few clouds,801,c02d,190,9,6.2
2023-05-03T16:00:00,27,25.9,91,-2.7,106,869,44.3,706,d,0,889,14,1007,0,245,16,Overcast clouds,804,c04d,180,9,6.7
2023-05-03T17:00:00,25,24,95,-2.5,98,825,36,577,d,0,889,16,1007,0,141,16,Overcast clouds,804,c04d,170,7,5.1
2023-05-03T18:00:00,26,25,96,-3.5,86,754,26.9,421,d,0,889,14,1007,0,91,16,Overcast clouds,804,c04d,160,8,7.7
2023-05-03T19:00:00,25,24,1,-2.5,70,639,17.5,256,d,0,889,16,1007,0,256,16,Clear Sky,800,c01d,160,8,5.7
2023-05-03T20:00:00,24,22.9,92,-3.3,46,431,8.3,100,d,0,889,16,1007,0,78,16,Overcast clouds,804,c04d,160,6.2,6.2
2023-05-03T21:00:00,21,19.7,79,-2.1,0,0,-0.5,0,n,0,890,21,1007,0,0,16,Overcast clouds,804,c04n,150,6,4.1
2023-05-03T22:00:00,20,18.6,90,-2.3,0,0,-8.4,0,n,0,890,22,1007,0,0,16,Overcast clouds,804,c04n,150,4.8,4.6
2023-05-03T23:00:00,18,18,59,-1.3,0,0,-15,0,n,0,890,27,1007,0,0,16,Broken clouds,803,c03n,190,4.4,3.6
2023-05-04T00:00:00,16,16,80,-2,0,0,-19.8,0,n,0,890,29,1007,0,0,16,Overcast clouds,804,c04n,180,1,1
2023-05-04T01:00:00,15,15,91,-1.1,0,0,-22.4,0,n,0,890,33,1007,0,0,16,Overcast clouds,804,c04n,340,2.8,1
2023-05-04T02:00:00,11,11,91,-4.6,0,0,-22.5,0,n,0,890,33,1007,0,0,16,Overcast clouds,804,c04n,350,2.1,2.1
2023-05-04T03:00:00,10,10,57,-1.1,0,0,-20.1,0,n,0,890,46,1008,0,0,16,Broken clouds,803,c03n,350,2.1,2.1
2023-05-04T04:00:00,8,8,48,-2,0,0,-15.4,0,n,0,890,49,1008,0,0,16,Broken clouds,803,c03n,20,1.6,1
2023-05-04T05:00:00,10,10,42,1.9,0,0,-9,0,n,0,890,57,1008,0,0,16,Broken clouds,803,c03n,320,2.1,2.1
2023-05-04T06:00:00,10,10,25,-0.2,0,0,-1.2,0,n,0,890,49,1008,0,0,16,Scattered clouds,802,c02n,340,1,1
2023-05-04T07:00:00,9,9,25,1.9,43,406,7.5,88,d,0,890,61,1008,0,87,16,Scattered clouds,802,c02d,360,1,1
2023-05-04T08:00:00,13,13,25,2,68,627,16.8,242,d,0,890,47,1009,0,240,16,Scattered clouds,802,c02d,345,3.2,1
2023-05-04T09:00:00,17,17,15,3,85,747,26.2,408,d,0,890,39,1008,0,407,16,Few clouds,801,c02d,330,2.1,2.1
2023-05-04T10:00:00,20,18.8,1,1.9,97,820,35.3,565,d,0,890,30,1008,0,565,16,Clear Sky,800,c01d,60,4.4,2.6
2023-05-04T11:00:00,22,20.9,1,1.6,105,866,43.7,698,d,0,890,26,1008,0,698,16,Clear Sky,800,c01d,80,7,3.1
2023-05-04T12:00:00,24,23.2,4,3.9,111,894,50.5,794,d,0,890,27,1008,0,794,16,Few clouds,801,c02d,100,7,5.1
2023-05-04T13:00:00,25,24.2,11,3.6,113,908,54.5,846,d,0,891,25,1008,0,846,16,Few clouds,801,c02d,150,8,6.2
2023-05-04T14:00:00,27,26.1,11,3.5,114,908,54.7,848,d,0,887,22,1008,0,848,16,Few clouds,801,c02d,120,9,6.2
2023-05-04T15:00:00,27,26.1,5,2.8,111,896,51,801,d,0,887,21,1007,0,801,16,Few clouds,801,c02d,120,9,4.6
2023-05-04T16:00:00,28,26.7,5,1.5,106,870,44.5,709,d,0,887,18,1007,0,709,16,Few clouds,801,c02d,130,10,6.7
2023-05-04T17:00:00,26,25.2,45,2,98,826,36.2,580,d,0,891,21,1007,0,545,16,Broken clouds,803,c03d,140,12,8.8
2023-05-04T18:00:00,26,25.2,1,0.6,86,755,27.1,425,d,0,890,19,1006,0,425,16,Clear Sky,800,c01d,130,11,7.2
2023-05-04T19:00:00,25,24.1,56,-0.2,70,642,17.7,259,d,0,890,19,1007,0,227,16,Broken clouds,803,c03d,120,10,8.2
2023-05-04T20:00:00,23,21.9,94,-1.1,47,438,8.5,103,d,0,890,20,1007,0,75,16,Overcast clouds,804,c04d,130,12,7.2
2023-05-04T21:00:00,22,20.7,94,-3.4,2,0,-0.3,0,n,0,889,18,1008,0,0,16,Overcast clouds,804,c04n,130,11,9.3
2023-05-04T22:00:00,20,18.6,95,-3,0,0,-8.1,0,n,0,889,21,1008,0,0,16,Overcast clouds,804,c04n,130,10,7.2
2023-05-04T23:00:00,18,18,94,-2.3,0,0,-14.7,0,n,0,890,25,1009,0,0,16,Overcast clouds,804,c04n,120,9,7.2
2023-05-05T00:00:00,17,17,83,-3.1,0,0,-19.5,0,n,0,889,25,1009,0,0,16,Overcast clouds,804,c04n,120,12,9.3
2023-05-05T01:00:00,15,15,51,-3.3,0,0,-22.1,0,n,0,889,28,1009,0,0,16,Broken clouds,803,c03n,160,8,4.6
2023-05-05T02:00:00,13,13,4,-3.3,0,0,-22.2,0,n,0,888,32,1010,0,0,16,Few clouds,801,c02n,160,4.8,3.6
2023-05-05T03:00:00,12,12,0,-3,0,0,-19.8,0,n,0,888,35,1010,0,0,16,Clear Sky,800,c01n,130,4.4,3.1
2023-05-05T04:00:00,11,11,0,-3.1,0,0,-15.2,0,n,0,888,37,1010,0,0,16,Clear Sky,800,c01n,90,3.6,2.8
2023-05-05T05:00:00,10,10,0,-3.3,0,0,-8.7,0,n,0,887,39,1010,0,0,16,Clear Sky,800,c01n,50,3.6,1.5
2023-05-05T06:00:00,7,6.2,0,-2.2,0,0,-0.9,0,n,0,887,52,1011,0,0,16,Clear Sky,800,c01n,330,3.6,1.5
2023-05-05T07:00:00,7,5.6,0,-1.2,44,413,7.8,91,d,0,886,56,1011,0,91,16,Clear Sky,800,c01d,350,5,2.1
2023-05-05T08:00:00,11,11,0,2.6,68,630,17,246,d,0,886,56,1012,0,246,16,Clear Sky,800,c01d,340,4,2.1
2023-05-05T09:00:00,14,14,0,2.6,85,748,26.4,412,d,0,888,46,1012,0,412,16,Clear Sky,800,c01d,50,5.6,3.1
2023-05-05T10:00:00,15,15,2,0.8,97,821,35.6,569,d,0,890,38,1012,0,569,16,Few clouds,801,c02d,60,6.4,1.5
2023-05-05T11:00:00,18,18,2,-1.3,105,867,44,701,d,0,890,27,1012,0,701,16,Few clouds,801,c02d,70,8,4.1
2023-05-05T12:00:00,20,18.8,0,0.5,111,895,50.8,797,d,0,891,27,1011,0,797,16,Clear Sky,800,c01d,90,8,4.1
2023-05-05T13:00:00,22,20.7,1,-3.4,114,908,54.8,849,d,0,892,18,1011,0,849,16,Clear Sky,800,c01d,120,12,9.3
2023-05-05T14:00:00,22,20.7,0,-3.4,114,909,55,851,d,0,892,18,1011,0,851,16,Clear Sky,800,c01d,110,11,8.2
2023-05-05T15:00:00,24,22.9,5,-2.5,111,897,51.3,804,d,0,892,17,1010,0,804,16,Few clouds,801,c02d,110,13,9.3
2023-05-05T16:00:00,23,21.8,5,-2.6,106,871,44.7,712,d,0,892,18,1010,0,712,16,Few clouds,801,c02d,110,12,8.8
2023-05-05T17:00:00,23,21.9,9,-1.1,98,827,36.4,583,d,0,892,20,1010,0,583,16,Few clouds,801,c02d,100,12,7.7
2023-05-05T18:00:00,22,20.8,8,-2,86,757,27.3,428,d,0,892,20,1011,0,428,16,Few clouds,801,c02d,100,11,8.8
2023-05-05T19:00:00,20,18.7,5,-1.2,70,645,17.9,262,d,0,891,24,1011,0,262,16,Few clouds,801,c02d,100,12,9.3
2023-05-05T20:00:00,18,18,3,-2.8,47,444,8.7,106,d,0,890,24,1012,0,106,16,Few clouds,801,c02d,100,11,9.8
2023-05-05T21:00:00,16,16,0,-2,4,4,-0.1,1,d,0,890,29,1012,0,5,16,Clear Sky,800,c01n,90,10,7.7
2023-05-05T22:00:00,14,14,0,-1.2,0,0,-7.9,0,n,0,890,35,1013,0,0,16,Clear Sky,800,c01n,100,8.8,6.7
2023-05-05T23:00:00,11,11,0,-2.1,0,0,-14.5,0,n,0,890,40,1013,0,0,16,Clear Sky,800,c01n,90,8,6.2
2023-05-06T00:00:00,10,10,0,-2,0,0,-19.3,0,n,0,889,43,1013,0,0,16,Clear Sky,800,c01n,100,7,4.6
2023-05-06T01:00:00,8,8,0,-3.2,0,0,-21.8,0,n,0,889,45,1013,0,0,16,Clear Sky,800,c01n,100,8,3.6
2023-05-06T02:00:00,8,8,2,-3.2,0,0,-21.9,0,n,0,888,45,1013,0,0,16,Few clouds,801,c02n,10,5,3.6
2023-05-06T03:00:00,7,4.8,40,-3.2,0,0,-19.5,0,n,0,888,48,1013,0,0,16,Scattered clouds,802,c02n,10,3.6,3.1
2023-05-06T04:00:00,6,4,49,-2.1,0,0,-14.9,0,n,0,887,56,1013,0,0,16,Broken clouds,803,c03n,360,3.6,2.6
2023-05-06T05:00:00,6,4.4,54,-2.1,0,0,-8.5,0,n,0,887,56,1013,0,0,16,Broken clouds,803,c03n,350,5,2.1
2023-05-06T06:00:00,5,2.4,80,-1,0,0,-0.7,0,n,0,887,65,1013,0,0,16,Overcast clouds,804,c04n,360,5,3.1
2023-05-06T07:00:00,6,3,42,-1.2,45,421,8,95,d,0,886,60,1014,0,91,16,Broken clouds,803,c03d,30,6,4.1
2023-05-06T08:00:00,6,3,49,-1.2,69,634,17.2,250,d,0,887,60,1014,0,230,16,Broken clouds,803,c03d,70,5.6,4.1
2023-05-06T09:00:00,6,3.6,81,-0.1,85,750,26.6,416,d,0.5,887,65,1015,0,233,16,Overcast clouds,804,c04d,100,6.8,3.1
2023-05-06T10:00:00,7,4.3,59,0.9,97,822,35.8,572,d,0,887,65,1015,0,486,16,Broken clouds,803,c03d,100,7.6,4.1
2023-05-06T11:00:00,8,8,89,2.9,106,868,44.2,704,d,0,888,70,1015,0,278,16,Overcast clouds,804,c04d,130,6,3.6
2023-05-06T12:00:00,8,8,88,2.9,111,895,51,800,d,0,889,70,1016,0,334,16,Overcast clouds,804,c04d,70,7.6,2.6
2023-05-06T13:00:00,11,11,87,4,114,909,55.1,852,d,0.5,889,62,1015,0,374,16,Overcast clouds,804,c04d,90,9.6,4.6
2023-05-06T14:00:00,12,12,89,3,114,909,55.3,854,d,0.5,889,54,1015,0,337,16,Overcast clouds,804,c04d,100,9,4.1
2023-05-06T15:00:00,11,11,89,4,111,897,51.5,807,d,0.5,890,62,1015,0,318,14,Overcast clouds,804,c04d,170,9,6.7
2023-05-06T16:00:00,11,11,89,4.9,106,871,45,715,d,0.5,889,66,1015,0,282,14,Overcast clouds,804,c04d,190,8,3.6
2023-05-06T17:00:00,10,10,90,5,98,827,36.7,586,d,0.5,889,71,1015,0,217,16,Overcast clouds,804,c04d,220,8,3.1
2023-05-06T18:00:00,10,10,88,2.8,87,758,27.5,431,d,0,889,61,1015,0,180,16,Overcast clouds,804,c04d,190,7.6,3.1
2023-05-06T19:00:00,10,10,87,1.9,71,648,18.1,266,d,0.5,889,57,1015,0,117,16,Overcast clouds,804,c04d,170,8,3.1
2023-05-06T20:00:00,8,8,89,4.9,48,450,8.9,109,d,0.5,889,81,1016,0,91,11,Overcast clouds,804,c04d,190,8,5.1
2023-05-06T21:00:00,8,8,86,6,6,11,0.2,1,d,0.5,888,87,1016,0,6,11,Overcast clouds,804,c04n,230,3.6,1.5
2023-05-06T22:00:00,8,8,90,4.9,0,0,-7.7,0,n,0.5,888,81,1016,0,0,11,Overcast clouds,804,c04n,285,6,1
2023-05-06T23:00:00,7,6.9,90,5,0,0,-14.2,0,n,0.5,888,87,1016,0,0,11,Overcast clouds,804,c04n,340,6,1
2023-05-07T00:00:00,7,5.2,89,5,0,0,-19,0,n,0,888,87,1016,0,0,11,Overcast clouds,804,c04n,360,5,2.6
2023-05-07T01:00:00,7,6.9,88,5,0,0,-21.6,0,n,0,888,87,1015,0,0,11,Overcast clouds,804,c04n,350,6,1
2023-05-07T02:00:00,7,6.2,89,5,0,0,-21.7,0,n,0,905,87,1014,0,0,10,Overcast clouds,804,c04n,50,2.4,1.5
2023-05-07T03:00:00,7,4.3,86,5,0,0,-19.3,0,n,0,887,87,1014,0,0,10,Overcast clouds,804,c04n,110,4.1,4.1
2023-05-07T04:00:00,7,4.8,88,5,0,0,-14.7,0,n,0,887,87,1014,0,0,10,Overcast clouds,804,c04n,140,3.1,3.1
2023-05-07T05:00:00,6,2.8,88,4,0,0,-8.2,0,n,0,886,87,1014,0,0,11,Overcast clouds,804,c04n,140,5,4.6
2023-05-07T06:00:00,5,2.8,45,2.9,0,0,-0.5,0,n,0,886,86,1014,0,0,11,Broken clouds,803,c03n,150,5,2.6
2023-05-07T07:00:00,6,4.4,54,4,46,428,8.2,98,d,0,885,87,1013,0,87,11,Broken clouds,803,c03d,180,4,2.1
2023-05-07T08:00:00,6,3.6,88,4,69,637,17.4,253,d,0,885,87,1014,0,106,13,Overcast clouds,804,c04d,150,5.6,3.1
2023-05-07T09:00:00,7,4.5,97,4,86,752,26.8,419,d,0,885,81,1013,0,165,13,Overcast clouds,804,c04d,190,4,3.6
2023-05-07T10:00:00,9,9,90,3.8,97,823,36,576,d,0,886,70,1013,0,214,16,Overcast clouds,804,c04d,150,5.1,5.1
2023-05-07T11:00:00,11,11,58,4,106,869,44.5,708,d,0,905,62,1013,0,608,16,Broken clouds,803,c03d,170,9,5.7
2023-05-07T12:00:00,12,12,70,3,111,896,51.3,803,d,0,887,54,1012,0,588,16,Broken clouds,803,c03d,170,9,5.7
2023-05-07T13:00:00,13,13,100,3.9,114,909,55.4,854,d,0,888,54,1012,0,199,16,Overcast clouds,804,c04d,170,8,4.6
2023-05-07T14:00:00,15,15,81,3.8,114,909,55.5,857,d,0,888,47,1012,0,480,16,Overcast clouds,804,c04d,160,8,5.1
2023-05-07T15:00:00,16,16,93,2.8,111,898,51.8,810,d,0,888,41,1011,0,240,16,Overcast clouds,804,c04d,180,9,4.6
2023-05-07T16:00:00,16,16,90,1.7,106,872,45.2,718,d,0,888,38,1011,0,266,16,Overcast clouds,804,c04d,160,7.2,4.6
2023-05-07T17:00:00,16,16,49,1.7,98,828,36.9,589,d,0,888,38,1011,0,542,16,Broken clouds,803,c03d,140,7.2,2.6
2023-05-07T18:00:00,16,16,92,1.7,87,760,27.7,434,d,0,888,38,1011,0,140,16,Overcast clouds,804,c04d,120,7.2,3.1
2023-05-07T19:00:00,15,15,81,1.9,71,650,18.3,269,d,0,888,41,1011,0,151,16,Overcast clouds,804,c04d,120,7.2,6.7
2023-05-07T20:00:00,14,14,91,2,48,456,9.1,112,d,0,888,44,1012,0,87,16,Overcast clouds,804,c04d,120,8,6.7
2023-05-07T21:00:00,13,13,44,2.8,8,22,0.4,2,d,0,888,50,1012,0,10,16,Broken clouds,803,c03n,140,8,4.6
2023-05-07T22:00:00,13,13,88,2.8,0,0,-7.5,0,n,0,888,50,1012,0,0,11,Overcast clouds,804,c04n,160,4.1,4.1
2023-05-07T23:00:00,12,12,95,4,0,0,-14,0,n,0,888,58,1012,0,0,16,Overcast clouds,804,c04n,140,5,4.1
2023-05-08T00:00:00,11,11,100,4.9,0,0,-18.7,0,n,0,889,66,1012,0,0,11,Overcast clouds,804,c04n,100,5,4.1
2023-05-08T01:00:00,9,9,88,5.9,0,0,-21.3,0,n,0,887,81,1012,0,0,11,Overcast clouds,804,c04n,150,4.1,4.1
2023-05-08T02:00:00,8,8,86,4.9,0,0,-21.4,0,n,0,887,81,1012,0,0,11,Overcast clouds,804,c04n,180,2.8,2.1
2023-05-08T03:00:00,8,8,46,4.9,0,0,-19,0,n,0,886,81,1012,0,0,11,Broken clouds,803,c03n,10,3.2,1.5
2023-05-08T04:00:00,8,8,88,4.9,0,0,-14.4,0,n,0,886,81,1012,0,0,11,Overcast clouds,804,c04n,150,3.6,1
2023-05-08T05:00:00,8,8,100,6.9,0,0,-8,0,n,0,889,93,1012,0,0,11,Overcast clouds,804,c04n,290,1.5,1.5
2023-05-08T06:00:00,8,8,95,6,2,0,-0.3,0,n,0,887,87,1013,0,0,11,Overcast clouds,804,c04n,350,3.1,3.1
2023-05-08T07:00:00,7,5.2,94,5.9,46,435,8.4,102,d,0.5,887,93,1013,0,74,10,Overcast clouds,804,c04d,330,5.2,2.6
2023-05-08T08:00:00,8,8,90,6.9,70,640,17.6,257,d,0.25,886,93,1013,0,95,6,Overcast clouds,804,c04d,310,5.2,2.1
2023-05-08T09:00:00,9,9,82,7,86,754,27,423,d,0,887,87,1014,0,229,8,Overcast clouds,804,c04d,330,1.5,1.5
2023-05-08T10:00:00,9,9,83,7,98,824,36.3,579,d,0,888,87,1014,0,302,11,Overcast clouds,804,c04d,350,2.1,2.1
2023-05-08T11:00:00,11,11,86,7.9,106,869,44.7,711,d,0,888,81,1014,0,328,16,Overcast clouds,804,c04d,340,7.6,1.5
2023-05-08T12:00:00,12,12,8,6.9,111,896,51.5,806,d,0,888,71,1013,0,806,16,Few clouds,801,c02d,220,8,1.5
2023-05-08T13:00:00,13,13,100,4.9,114,909,55.6,857,d,0,889,58,1013,0,200,16,Overcast clouds,804,c04d,340,8,1.5
2023-05-08T14:00:00,12,12,95,5.9,114,910,55.8,859,d,1,889,66,1013,0,210,16,Light rain,500,r01d,10,6.7,6.7
2023-05-08T15:00:00,11,11,97,6,112,898,52,813,d,0,888,71,1013,0,153,16,Overcast clouds,804,c04d,360,9,4.1
2023-05-08T16:00:00,9,9,97,5,106,872,45.4,721,d,0,888,76,1015,0,136,16,Overcast clouds,804,c04d,220,9,6.2
2023-05-08T17:00:00,9,9,97,5.9,98,829,37.1,592,d,0,888,81,1014,0,112,10,Overcast clouds,804,c04d,220,4.8,1.5
2023-05-08T18:00:00,8,8,96,6,87,761,27.9,438,d,0.5,888,87,1014,0,95,16,Overcast clouds,804,c04d,330,6.2,6.2
2023-05-08T19:00:00,9,9,94,7,71,653,18.5,272,d,0.25,887,87,1014,0,74,16,Overcast clouds,804,c04d,360,3.1,3.1
2023-05-08T20:00:00,10,10,40,6.9,49,462,9.3,115,d,0,887,81,1014,0,110,16,Scattered clouds,802,c02d,340,2.6,2.6
2023-05-08T21:00:00,10,10,89,6.9,9,34,0.6,3,d,0,888,81,1015,0,10,16,Overcast clouds,804,c04n,350,9,2.6
